TYPE;NUM;PARENT_CODE;NAME;MEASURE_UNIT;UNIT_WEIGHT;ENERGY;FIBER;FAT;CARBOHYDRATE;PRICE
GOODS;1012695;49993;Сливки 33%;Литр;0.00;;;0.00;0.00;0.00
GOODS;962628;46512;Сливки для взбития 33%;Литр;1.00;;;0.00;0.00;0.00
DISH;1150210;48551;Слойка к с копчёной курицей и моцареллой;Штуки;80.00;;;0.00;0.00;0.00
GOODS;1009684;49993;Сода пищевая;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;962275;49993;Соевый соус;Литр;1.00;;;0.00;0.00;0.00
GOODS;1096533;46512;Сок Виноградный;Литр;1000.00;;;0.00;0.00;0.00
GOODS;962268;49993;Соль;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1047313;54161;Сосиски Аппетитные (СТАФФ);Штуки;0.00;;;0.00;0.00;0.00
DISH;1161187;49993;Сосиски Баварские с сыром;Штуки;0.00;;;0.00;0.00;0.00
GOODS;1139185;49993;Сосиски Молочные (на продажу);Штуки;0.00;;;0.00;0.00;0.00
PREPARED;962303;49995;"Соус ""Горчичный""";Килограммы;997.40;;;28.00;13.00;0.00
PREPARED;1149503;49995;"Соус ""Цезарь""";Килограммы;1150.00;;;0.00;0.00;0.00
