PRODUCT_CODE;ITEM_CODE;ITEM_GROSS_WEIGHT;ITEM_NET_WEIGHT;ITEM_OUT_WEIGHT;TECHNOLOGY;AMOUNT;DATE_FROM;WRITEOFF_TYPE
1119467;893029;;0.021;0.021;;;16.01.2024 20:23;
1119467;893503;;1.000;;;;16.01.2024 20:23;
1119466;893029;;0.011;0.011;;;16.01.2024 20:22;
1119466;893502;;1.000;;;;16.01.2024 20:22;
